Steering Throttle
-0.0882459 2.77772
-0.0988479 2.71726
-0.104706 2.67805
-0.110506 2.63298
-0.165126 -0.293061
-0.19505 -0.285321
-0.185148 0.354858
-0.161694 0.703328
-0.151905 3
-0.148147 3
-0.137721 3
-0.118159 3
-0.106385 3
-0.0943015 3
-0.0756701 3
-0.0649221 3
-0.0619654 3
-0.0579807 3
-0.056122 3
-0.0558794 3
-0.0569162 3
-0.0586829 2.95447
-0.0596469 2.90783
-0.0586236 2.87356
-0.0579931 2.8291
-0.0555756 2.76639
-0.0524286 2.73204
-0.0516855 2.68776
-0.0485945 2.65372
-0.0442551 2.61463
-0.0394752 2.57718
-0.0347169 2.53197
-0.0308248 2.49992
-0.0270896 2.46409
-0.0237204 2.4286
-0.0207139 2.39353
-0.0177517 2.35574
-0.014561 2.30205
-0.0133492 2.25716
-0.0137991 2.20804
-0.0145317 2.12222
-0.015527 2.08199
-0.0161691 2.04987
-0.0165684 2.02047
-0.016867 1.99719
-0.0173253 1.94902
-0.0169406 1.91965
-0.0167807 1.89314
-0.0169108 1.863
-0.0166119 1.83931
-0.0159839 1.80835
-0.0152864 1.78213
-0.014836 1.75644
-0.0145854 1.7311
-0.0147585 1.70643
-0.014858 1.67811
-0.0150196 1.65765
-0.0155206 1.62863
-0.0162445 1.60619
-0.017044 1.58299
-0.0178507 1.55559
-0.0188713 1.53666
-0.0204716 1.50831
-0.0222977 1.48861
-0.023764 1.46654
-0.0255823 1.443
-0.0278394 1.4225
-0.0304813 1.4051
-0.0331831 1.38274
-0.0358015 1.3658
-0.0392624 1.33949
-0.0438243 1.31182
-0.0482321 1.2866
-0.0561126 1.25557
-0.0659497 1.22414
-0.0718641 1.20931
-0.0745218 1.20396
-0.0791954 1.19269
-0.0921307 1.17743
-0.103176 1.16652
-0.112552 1.15516
-0.114925 1.15203
-0.111638 1.15164
-0.105787 1.14714
-0.0963265 1.14723
-0.0814585 1.15165
-0.0583428 1.14944
-0.0450031 1.1466
-0.0336213 1.14142
-0.0185701 1.13522
-0.00387544 1.12304
-0.000217371 1.1129
-0.00161584 1.10298
